app_type;exe_time_ms;lang
balanes;193;c++
balanes;189;c++
balanes;193;c++
balanes;191;c++
balanes;245;c++
balanes;215;c++
balanes;199;c++
balanes;196;c++
balanes;235;c++
balanes;204;c++
balanes;187;c++
balanes;201;c++
balanes;190;c++
balanes;186;c++
balanes;186;c++
balanes;183;c++
balanes;197;c++
balanes;185;c++
balanes;182;c++
balanes;184;c++
balanes;180;c++
balanes;182;c++
balanes;197;c++
balanes;189;c++
balanes;184;c++
balanes;181;c++
balanes;182;c++
balanes;195;c++
balanes;184;c++
balanes;207;c++
balanes;234;c++
balanes;194;c++
balanes;193;c++
balanes;215;c++
balanes;192;c++
balanes;180;c++
balanes;183;c++
balanes;193;c++
balanes;183;c++
balanes;181;c++
balanes;183;c++
balanes;184;c++
balanes;192;c++
balanes;189;c++
balanes;184;c++
balanes;181;c++
balanes;184;c++
balanes;181;c++
balanes;195;c++
balanes;182;c++
balanes;187;c++
balanes;190;c++
balanes;183;c++
balanes;197;c++
balanes;182;c++
balanes;227;c++
balanes;218;c++
balanes;190;c++
balanes;202;c++
balanes;211;c++
balanes;188;c++
balanes;182;c++
balanes;185;c++
balanes;193;c++
balanes;185;c++
balanes;184;c++
balanes;181;c++
balanes;184;c++
balanes;198;c++
balanes;185;c++
balanes;186;c++
balanes;181;c++
balanes;183;c++
balanes;189;c++
balanes;175;c++
balanes;176;c++
balanes;177;c++
balanes;177;c++
balanes;176;c++
balanes;191;c++
balanes;182;c++
balanes;224;c++
balanes;207;c++
balanes;180;c++
balanes;201;c++
balanes;197;c++
balanes;181;c++
balanes;178;c++
balanes;177;c++
balanes;187;c++
balanes;179;c++
balanes;174;c++
balanes;182;c++
balanes;178;c++
balanes;181;c++
balanes;188;c++
balanes;175;c++
balanes;184;c++
balanes;179;c++
balanes;182;c++
balanes;189;c++
balanes;176;c++
balanes;182;c++
balanes;180;c++
balanes;178;c++
balanes;174;c++
balanes;198;c++
balanes;176;c++
balanes;258;c++
balanes;181;c++
balanes;191;c++
balanes;211;c++
balanes;183;c++
balanes;175;c++
balanes;178;c++
balanes;184;c++
balanes;203;c++
balanes;202;c++
balanes;199;c++
balanes;196;c++
balanes;199;c++
balanes;203;c++
balanes;200;c++
balanes;196;c++
balanes;195;c++
balanes;200;c++
balanes;202;c++
balanes;200;c++
balanes;197;c++
balanes;197;c++
balanes;202;c++
balanes;218;c++
balanes;212;c++
balanes;238;c++
balanes;216;c++
balanes;224;c++
balanes;261;c++
balanes;237;c++
balanes;213;c++
balanes;206;c++
balanes;207;c++
balanes;202;c++
balanes;196;c++
balanes;199;c++
balanes;237;c++
balanes;225;c++
balanes;212;c++
balanes;212;c++
balanes;208;c++
balanes;227;c++
balanes;214;c++
balanes;205;c++
balanes;199;c++
balanes;201;c++
balanes;219;c++
balanes;225;c++
balanes;231;c++
balanes;224;c++
balanes;243;c++
balanes;216;c++
balanes;206;c++
balanes;201;c++
balanes;199;c++
balanes;219;c++
balanes;202;c++
balanes;199;c++
balanes;199;c++
balanes;204;c++
balanes;222;c++
balanes;204;c++
balanes;211;c++
balanes;205;c++
balanes;206;c++
balanes;204;c++
balanes;210;c++
balanes;200;c++
balanes;196;c++
balanes;205;c++
balanes;219;c++
balanes;241;c++
balanes;232;c++
balanes;250;c++
balanes;227;c++
balanes;215;c++
balanes;204;c++
balanes;206;c++
balanes;212;c++
balanes;237;c++
balanes;204;c++
balanes;198;c++
balanes;198;c++
balanes;215;c++
balanes;211;c++
balanes;211;c++
balanes;202;c++
balanes;204;c++
balanes;211;c++
balanes;203;c++
balanes;206;c++
balanes;209;c++
balanes;217;c++
balanes;216;c++
balanes;251;c++
balanes;230;c++
balanes;245;c++
balanes;225;c++
balanes;209;c++
balanes;214;c++
balanes;210;c++
balanes;220;c++
balanes;212;c++
balanes;217;c++
balanes;216;c++
balanes;205;c++
balanes;213;c++
balanes;215;c++
balanes;212;c++
balanes;212;c++
balanes;221;c++
balanes;212;c++
balanes;203;c++
balanes;212;c++
balanes;214;c++
balanes;212;c++
balanes;226;c++
balanes;255;c++
balanes;230;c++
balanes;233;c++
balanes;214;c++
balanes;214;c++
balanes;205;c++
balanes;207;c++
balanes;212;c++
balanes;213;c++
balanes;208;c++
balanes;202;c++
balanes;206;c++
balanes;237;c++
balanes;249;c++
balanes;216;c++
balanes;206;c++
balanes;213;c++
balanes;211;c++
balanes;203;c++
balanes;203;c++
balanes;206;c++
balanes;216;c++
balanes;243;c++
balanes;236;c++
balanes;236;c++
balanes;229;c++
balanes;217;c++
balanes;207;c++
balanes;212;c++
balanes;199;c++
balanes;209;c++
balanes;200;c++
balanes;209;c++
balanes;196;c++
balanes;192;c++
balanes;211;c++
balanes;200;c++
balanes;209;c++
balanes;207;c++
balanes;216;c++
balanes;229;c++
balanes;223;c++
balanes;208;c++
balanes;206;c++
balanes;217;c++
balanes;259;c++
balanes;256;c++
balanes;238;c++
balanes;225;c++
balanes;210;c++
balanes;231;c++
balanes;291;c++
balanes;244;c++
balanes;219;c++
balanes;210;c++
balanes;204;c++
balanes;203;c++
balanes;206;c++
balanes;207;c++
balanes;221;c++
balanes;204;c++
balanes;205;c++
balanes;205;c++
balanes;199;c++
balanes;200;c++
balanes;198;c++
balanes;201;c++
balanes;220;c++
balanes;232;c++
balanes;229;c++
balanes;217;c++
balanes;215;c++
balanes;204;c++
balanes;200;c++
balanes;199;c++
